s_values	dI_I
3.655310621242485	0.06319007076853497
3.67935871743487	0.058234317095106784
3.7034068136272547	0.05330692497682663
3.7274549098196395	0.04840972620982684
3.751503006012024	0.04354462508573368
3.7755511022044086	0.03871360542633983
3.7995991983967934	0.033918736806498415
3.823647294589178	0.029162179865017627
3.847695390781563	0.02444619058198504
3.8717434869739478	0.019773123384131456
3.8957915831663326	0.015145432925989697
3.9198396793587174	0.010565674387293703
3.943887775551102	0.006036502125131821
3.967935871743487	0.0015606665250020451
3.9919839679358717	-0.002858991091580604
4.0160320641282565	-0.0072195456227625064
4.040080160320641	-0.011517997493754513
4.064128256513026	-0.01575128416360632
4.0881763527054105	-0.01991629382895397
4.112224448897796	-0.02400988126477083
4.13627254509018	-0.028028885677427503
4.160320641282565	-0.0319701503759784
4.18436873747495	-0.03583054399664354
